                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1827,                 3.7669,                   1.18,                0.25425,                0.27107,                0.12281,                0.08894,                0.99988,                 3.0343,                 1.0881,               0.067011,             0.00033322,             0.00033322
                      1,                 1.1299,                 2.8995,                 1.1446,                0.20771,                0.37436,                0.21597,                0.15776,                0.93685,                 3.5111,                  1.054,               0.033998,             0.00065336,             0.00065336
                      2,                 1.0806,                 2.3988,                 1.1221,                0.30793,                0.45173,                0.34463,                0.25371,                0.91246,                 2.3989,                 1.0418,             0.00097123,             0.00096029,             0.00096029
                      3,                 1.0625,                 2.1611,                 1.1093,                0.42483,                0.45711,                0.43704,                0.32228,                0.89314,                 1.9946,                 1.0336,              0.0009406,              0.0009406,              0.0009406
                      4,                  1.031,                 2.0231,                 1.0922,                0.47787,                0.53285,                  0.488,                0.35825,                0.89419,                 2.3661,                 1.0412,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.0156,                 1.9301,                  1.086,                0.47302,                0.57896,                0.51976,                0.38376,                0.87468,                 1.9141,                 1.0159,              0.0009208,              0.0009208,              0.0009208
                      6,                0.99487,                 1.8318,                 1.0737,                0.52039,                0.55213,                0.53751,                0.39848,                0.87223,                 1.8229,                 1.0117,               0.000901,               0.000901,               0.000901
                      7,                 0.9852,                 1.7584,                 1.0677,                0.50718,                0.60075,                0.54895,                0.41207,                0.85588,                 1.7221,                 1.0033,              0.0008812,              0.0008812,              0.0008812
                      8,                0.98184,                 1.6989,                 1.0682,                0.46987,                 0.6164,                0.55852,                0.41747,                0.86037,                 1.6043,                 1.0044,              0.0008614,              0.0008614,              0.0008614
                      9,                0.96781,                 1.6585,                 1.0629,                0.51874,                0.59412,                0.57459,                0.42827,                0.86631,                 1.5152,                 1.0186,              0.0008416,              0.0008416,              0.0008416
                     10,                0.95973,                 1.6107,                 1.0611,                0.49487,                0.61221,                0.56803,                0.42703,                0.84802,                 1.4742,                0.99036,              0.0008218,              0.0008218,              0.0008218
                     11,                0.96385,                  1.574,                 1.0617,                0.53577,                0.62455,                0.59277,                0.44348,                0.84616,                 1.4323,                0.99645,               0.000802,               0.000802,               0.000802
                     12,                0.94178,                 1.5189,                 1.0461,                0.56285,                 0.6187,                0.60874,                0.45574,                0.84802,                 1.3922,                0.99589,              0.0007822,              0.0007822,              0.0007822
                     13,                0.94746,                 1.5259,                 1.0503,                0.56708,                0.61155,                0.60523,                0.45375,                 0.8419,                 1.3852,                0.99115,              0.0007624,              0.0007624,              0.0007624
                     14,                 0.9456,                 1.5232,                 1.0445,                0.55985,                0.61912,                0.61091,                0.45868,                0.83417,                 1.3709,                0.98501,              0.0007426,              0.0007426,              0.0007426
                     15,                0.92787,                 1.4759,                 1.0405,                0.56398,                0.64068,                0.62835,                 0.4745,                0.82342,                 1.3387,                0.97524,              0.0007228,              0.0007228,              0.0007228
                     16,                0.93692,                 1.4654,                 1.0405,                0.55841,                0.61158,                0.60398,                0.45537,                0.82348,                  1.342,                0.97271,               0.000703,               0.000703,               0.000703
                     17,                0.92288,                 1.4407,                 1.0375,                0.54207,                0.65811,                0.62357,                0.47125,                0.82081,                 1.3537,                0.97213,              0.0006832,              0.0006832,              0.0006832
                     18,                0.92941,                 1.4131,                 1.0387,                0.59767,                0.59217,                0.61728,                0.46869,                0.80889,                 1.3649,                0.96455,              0.0006634,              0.0006634,              0.0006634
                     19,                0.92209,                 1.4168,                 1.0348,                0.56107,                0.63805,                0.60447,                0.45485,                0.81708,                 1.3505,                0.97315,              0.0006436,              0.0006436,              0.0006436
                     20,                0.90841,                 1.3958,                 1.0339,                0.56659,                0.61154,                0.60943,                0.46151,                0.81444,                 1.3405,                0.97519,              0.0006238,              0.0006238,              0.0006238
                     21,                0.91397,                 1.3831,                  1.033,                0.57192,                  0.634,                0.62253,                0.46825,                0.81598,                  1.344,                0.97372,               0.000604,               0.000604,               0.000604
                     22,                0.91177,                 1.3904,                 1.0316,                0.57561,                0.60699,                0.60904,                0.46373,                0.80987,                 1.3211,                0.96701,              0.0005842,              0.0005842,              0.0005842
                     23,                0.90718,                 1.3587,                 1.0261,                0.55161,                0.64695,                0.62491,                0.47555,                0.80733,                 1.3243,                0.96631,              0.0005644,              0.0005644,              0.0005644
                     24,                0.90602,                 1.3515,                 1.0273,                0.58717,                0.60628,                0.62437,                0.47152,                0.81671,                 1.3136,                0.97186,              0.0005446,              0.0005446,              0.0005446
                     25,                0.90486,                 1.3286,                  1.026,                0.59175,                0.62303,                0.63165,                0.48017,                0.81371,                 1.2723,                0.97487,              0.0005248,              0.0005248,              0.0005248
                     26,                0.88893,                 1.3319,                 1.0237,                0.57103,                 0.6366,                0.61743,                0.46508,                0.80608,                 1.2732,                0.96854,               0.000505,               0.000505,               0.000505
                     27,                0.90158,                 1.3305,                 1.0237,                0.52867,                0.64254,                0.62381,                0.47464,                0.80147,                 1.2564,                0.96009,              0.0004852,              0.0004852,              0.0004852
                     28,                0.89188,                  1.289,                 1.0232,                0.60148,                0.62222,                0.63496,                0.48322,                0.80469,                 1.2667,                0.96426,              0.0004654,              0.0004654,              0.0004654
                     29,                0.89272,                 1.2931,                 1.0251,                0.57858,                 0.6419,                0.63485,                0.48382,                0.80283,                 1.2525,                0.96604,              0.0004456,              0.0004456,              0.0004456
                     30,                0.88329,                 1.2736,                 1.0157,                0.57615,                0.65275,                0.63124,                0.48092,                0.79584,                 1.2628,                0.95841,              0.0004258,              0.0004258,              0.0004258
                     31,                0.89051,                 1.2712,                 1.0184,                0.56016,                0.69143,                0.64011,                 0.4841,                0.79426,                 1.2464,                 0.9583,               0.000406,               0.000406,               0.000406
                     32,                0.88511,                 1.2586,                 1.0215,                0.59359,                0.64366,                0.64407,                0.49149,                0.79981,                 1.2406,                0.96005,              0.0003862,              0.0003862,              0.0003862
                     33,                0.88293,                 1.2483,                  1.021,                0.61008,                0.59718,                 0.6387,                0.48824,                0.80212,                 1.2451,                0.96301,              0.0003664,              0.0003664,              0.0003664
                     34,                0.88265,                 1.2514,                 1.0158,                0.59062,                  0.642,                0.63721,                0.48659,                0.79544,                 1.2542,                0.95938,              0.0003466,              0.0003466,              0.0003466
                     35,                0.87479,                 1.2364,                  1.011,                0.56802,                0.64189,                0.64259,                0.48991,                0.79823,                 1.2054,                0.95842,              0.0003268,              0.0003268,              0.0003268
                     36,                0.86957,                 1.2426,                 1.0106,                 0.5999,                0.61408,                0.63869,                0.48585,                0.79614,                 1.2099,                0.95972,               0.000307,               0.000307,               0.000307
                     37,                0.87318,                 1.2292,                 1.0115,                0.58858,                0.64602,                0.64037,                 0.4874,                0.79459,                 1.2043,                0.95795,              0.0002872,              0.0002872,              0.0002872
                     38,                0.86798,                 1.2044,                 1.0099,                0.57207,                0.65599,                0.64473,                0.49141,                0.79849,                 1.2082,                0.96327,              0.0002674,              0.0002674,              0.0002674
                     39,                0.87006,                  1.203,                 1.0058,                0.59579,                0.63563,                 0.6422,                0.48939,                 0.7894,                 1.2062,                0.95423,              0.0002476,              0.0002476,              0.0002476
                     40,                0.80628,                 1.1597,                0.96184,                 0.5915,                0.62759,                0.63906,                 0.4869,                 0.7974,                  1.215,                0.95652,              0.0002278,              0.0002278,              0.0002278
                     41,                0.80286,                 1.1249,                0.96095,                0.60003,                0.63162,                0.64773,                0.49487,                0.79249,                 1.1882,                0.95691,               0.000208,               0.000208,               0.000208
                     42,                0.79491,                 1.1169,                0.95719,                 0.5913,                0.63619,                0.64045,                0.48858,                 0.7938,                 1.2081,                0.95571,              0.0001882,              0.0001882,              0.0001882
                     43,                0.79076,                 1.1034,                0.95445,                0.58779,                0.65062,                0.64668,                0.49444,                0.79039,                 1.1821,                  0.954,              0.0001684,              0.0001684,              0.0001684
                     44,                0.78907,                 1.1059,                0.95236,                0.60463,                0.64125,                0.64716,                0.49366,                 0.7885,                  1.177,                0.95109,              0.0001486,              0.0001486,              0.0001486
                     45,                0.78884,                 1.0912,                0.95396,                0.60632,                0.61379,                0.64545,                0.49215,                0.79072,                  1.182,                0.95362,              0.0001288,              0.0001288,              0.0001288
                     46,                0.78393,                 1.0671,                0.94756,                0.60464,                0.62488,                0.65008,                0.49488,                0.78976,                 1.1776,                0.95168,               0.000109,               0.000109,               0.000109
                     47,                0.78516,                 1.0712,                 0.9512,                0.59918,                0.62568,                0.64633,                0.49269,                0.78889,                 1.1866,                0.95273,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.78609,                 1.0716,                0.94838,                0.58552,                0.63478,                0.64587,                0.49366,                0.78649,                 1.1809,                0.94996,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 0.7752,                 1.0551,                0.94913,                0.59445,                0.63551,                0.65022,                0.49639,                0.78631,                 1.1822,                0.94989,               4.96e-05,               4.96e-05,               4.96e-05
